EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
-0.020818384,-0.013426858,-0.00057419855,-0.024990847,0.008481039,0.009306915,-0.009096543,0.01446444,0.02382689,-0.013461846,0.00017512497,0.02629491,-0.0033797119,-0.010740235,-0.016234804
0.044480145,0.015172088,-0.0071222642,0.009583622,0.027063176,0.005337176,-0.015881453,0.010601135,0.024441302,0.011693107,0.013925037,0.03379244,0.030739129,0.004577291,0.0037824437
0.04530368,-0.00047219358,0.013252692,-0.017989228,0.021870576,0.04373894,-0.034008227,0.03911612,0.020748714,-0.10099026,0.018098092,0.027368909,0.012007749,0.01893216,-0.039554622
-0.021818114,-0.012024575,-0.0074307155,-0.02719731,-0.008007504,-0.046941623,0.0070101297,-0.045111034,-0.004093133,-0.04594273,0.016512875,-0.01668969,-0.03636621,-0.025552899,-0.011410248
0.00062600244,0.0007718799,-0.0043215193,0.022472871,0.011946192,-0.04095173,0.004080855,-0.025341045,-0.015872631,-0.03581331,0.00669411,-0.0126378555,-0.045447066,-0.03358394,-0.009498395
0.03135231,-0.013342199,0.026686573,0.03830604,-0.009680029,-0.006399218,0.02140411,0.039005443,0.051047068,0.093400516,0.04185935,0.049066447,0.043218784,0.03710518,-0.0051242267
-0.008829361,-0.04476436,0.025606602,-0.009082917,0.068856806,0.028538175,0.0018320153,0.04793434,0.010776974,0.039876692,-0.019030899,0.018795777,0.027534198,-0.014066804,-0.03515145
0.04687626,-0.009434323,0.008587769,-0.011509651,0.03634713,0.031626716,-0.003052679,0.039749477,0.04131413,-0.053510822,0.0033248253,0.039259877,0.03122856,0.04391472,-0.015567539
0.04150085,0.029241923,0.027612587,-0.0285576,0.033521235,0.0069699027,0.029200178,0.047959264,0.07814396,0.0647599,0.06506782,0.07061457,0.04807407,0.06431645,0.03698322
0.004056127,-0.0033883671,0.0005767667,0.018035201,-0.059695356,-0.008795552,-0.002749417,-0.0038990397,0.06038424,-0.00010559708,0.055704445,0.05650396,0.0073415264,0.018099727,-0.009026431
0.007643029,-0.0070661604,0.009076406,0.00080660824,0.03420213,0.027722511,0.004142663,0.044353813,0.01697174,0.05024152,-0.008293727,0.014959153,0.04790379,-0.0038156845,0.00047987793
-0.01065371,-0.0016445541,-0.003692925,0.016140096,0.04713887,0.016943414,-0.0008847886,0.014505466,0.0008299947,-0.017958283,0.0020906823,0.021536112,-0.00533095,-0.009648828,-0.0020690495
0.025464313,-0.023546245,-0.004622137,0.00020153867,-0.049440615,0.03986588,-0.0020086705,-0.0067671984,0.044986807,-0.017129492,0.03673697,0.042516693,-0.0095252935,0.015808202,-0.014389005
0.024218313,-0.0039515235,-0.010621892,0.029186752,0.0014187619,0.005482969,0.012327718,0.032422252,0.0064382497,0.023197483,0.014974589,-0.013367491,-0.020818895,-0.027654227,0.015349509
0.029338192,-0.01599408,-0.0046464186,0.010864027,0.077858046,0.02923147,-0.019758213,0.03238197,0.044575654,0.036494035,0.014969233,0.039155327,0.041354295,0.016599694,-0.02440028
-0.053662643,-0.0093866205,0.006566298,-0.010028776,-0.017389078,0.03937347,0.004631175,0.007099903,-0.0058246516,-0.026221264,-0.010626027,0.0062624896,-0.006725982,0.012073133,-0.0019407491
0.057686597,0.049390428,0.063071564,-0.012901172,0.067352764,0.051214024,0.013783607,0.041609522,0.061825596,0.095146336,0.03380595,0.06655016,0.04263392,0.045630902,0.0293447
0.05703742,0.01316421,0.01376297,-0.0045325058,0.028247446,0.053163767,0.0024074276,0.032434054,0.031236475,0.04652236,0.03158366,0.051378604,0.028033115,0.031434238,0.004760051
0.022755748,0.052637212,0.025279794,-0.011827608,-0.019495826,0.05387325,0.013209291,0.008623605,0.021882588,0.0065047573,-0.029928192,0.0069250856,0.023182277,0.029876634,0.054848768
0.027382975,0.024289176,0.0035114153,-0.014534341,0.07370067,0.031233456,-0.012080272,0.061956998,0.032357786,0.004304287,0.00722479,0.04321115,0.047594957,0.066327795,0.011062017
-0.0011863671,-0.00522558,-0.0036402615,0.007919064,-0.029778149,-0.015761388,-0.004178482,-0.004526885,0.0057315826,-0.0115981465,-0.014375931,-0.023457447,0.016258342,-0.013715085,-0.0055512027
-0.024960605,-0.010380628,0.017469991,0.030359976,0.05023293,0.057518736,0.029918864,0.020813894,0.018756723,0.03214288,0.060186382,0.019719247,0.04037515,0.009842601,0.026287429
0.0076531097,0.019538257,0.0221823,0.0030195664,0.06020971,0.01943971,0.043194175,0.033592105,0.049164057,0.0067008673,0.07726619,0.07026068,0.025572577,0.04763977,0.029395513
0.022048675,-0.018635232,-0.0049483785,0.021113658,-0.004329242,-0.002734257,0.013496135,0.0031506931,0.013456568,0.03452797,0.0010700943,0.018724736,0.0018041246,-0.0150900185,-0.0048467484
0.02288496,-0.0005846708,-0.00630264,-0.017332107,0.008071026,0.0034515914,-0.018181056,0.003945782,0.066955656,0.011413166,0.06375794,0.02571629,0.026895989,0.031286556,-0.007063582
0.04183742,-0.030867431,-0.011685591,0.00684481,0.02234783,0.025962153,-0.010215582,0.034824908,0.0021970514,0.004323899,0.0059466306,-0.013848035,0.0139186,-0.022320155,-0.02354012
-0.03282421,0.022553105,5.2631833e-05,-0.0049567595,0.11017994,0.08754426,-0.007096216,0.0631285,0.05060043,0.0026663188,0.03289175,0.031019641,0.10953473,0.049719,0.025724005
-0.018530535,0.00660601,0.017948791,0.028902648,0.02941585,-0.050848775,0.0325363,0.01429209,-0.020003382,0.0360282,0.020771163,-0.011030795,0.031130008,-0.01148692,0.018372215
0.0012393156,-0.013339161,0.0041184155,-0.010642575,0.041825593,-0.034365714,-0.00041284272,0.038595557,0.0059104953,0.03299848,-0.02603928,-0.01385566,-0.004695976,-0.045612562,-0.019873826
0.043732487,-0.0139933815,0.021057343,0.006974373,0.047309056,-0.03223879,0.005839902,-7.447973e-05,0.031141125,-0.060025558,0.0049499655,0.016794007,-0.013899865,-0.011280036,-0.009317931
0.008554278,0.009812621,0.0029874698,0.015555335,0.024250336,0.04633712,0.02980366,0.019504156,0.014206964,0.0019313972,-0.0063205324,0.006242549,-0.0027345978,0.0042238897,0.022231894
-0.018104253,0.011664234,0.0011631683,-0.031644374,0.027002245,0.0007549841,-0.031203821,0.0001580175,0.010343067,0.04599805,-0.020367485,-0.0053869244,-0.0025079884,0.032615148,-0.006238339
0.0095545165,-0.03758167,-0.01049885,-0.0059068883,-0.0026570316,-0.04265716,-0.014318599,0.008098089,-0.021814693,0.020739328,-0.060216423,-0.028273175,-0.0066467207,-0.01370951,-0.03741226
0.005925619,0.01274991,0.00666617,-0.014801227,0.009000514,-0.030137656,-0.009128722,0.014132076,0.015347243,0.036802903,0.031070707,0.0058702584,0.025347583,-0.0022763815,0.0008574221
