variant,date,window_index,scale_index,module_path,base_kernel_type,learned_outputscale_mean,learned_outputscale_min,learned_outputscale_max
positive_beta_prior,2026-03-31,10,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.012630478936567444,0.012630478936567444,0.012630478936567444
positive_beta_prior,2026-04-30,11,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.040619293816910866,0.040619293816910866,0.040619293816910866
positive_beta_prior,2026-04-30,11,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.01156483477068847,0.01156483477068847,0.01156483477068847
positive_beta_prior,2026-04-30,11,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.057103537676052876,0.057103537676052876,0.057103537676052876
positive_beta_prior,2026-04-30,11,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.02442432061310594,0.02442432061310594,0.02442432061310594
positive_beta_prior,2026-04-30,11,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.014922357741996687,0.014922357741996687,0.014922357741996687
positive_beta_prior,2026-04-30,11,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.08186020046076525,0.08186020046076525,0.08186020046076525
positive_beta_prior,2026-04-30,11,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.19721367895376216,0.19721367895376216,0.19721367895376216
positive_beta_prior,2026-04-30,11,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.012327243979513014,0.012327243979513014,0.012327243979513014
positive_beta_prior,live,12,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04433865412678979,0.04433865412678979,0.04433865412678979
positive_beta_prior,live,12,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.011703400812351992,0.011703400812351992,0.011703400812351992
positive_beta_prior,live,12,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.06002192209500732,0.06002192209500732,0.06002192209500732
positive_beta_prior,live,12,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.02438678984491617,0.02438678984491617,0.02438678984491617
positive_beta_prior,live,12,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.015524815276983118,0.015524815276983118,0.015524815276983118
positive_beta_prior,live,12,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.08054325260616088,0.08054325260616088,0.08054325260616088
positive_beta_prior,live,12,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.3343612701936568,0.3343612701936568,0.3343612701936568
positive_beta_prior,live,12,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.012226684883310052,0.012226684883310052,0.012226684883310052
