horizon,feature_a,feature_b,corr,abs_corr
3W-FRI,ma_regime,vix_slope,0.3474551539729412,0.3474551539729412
3W-FRI,vol_z,vix_ts_z_12p,-0.34724382846091467,0.34724382846091467
3W-FRI,short_reversal_1m,hy_spread_chg_1p,0.3453145468035773,0.3453145468035773
3W-FRI,baspread,cpi_chg_12p,0.34468523652376454,0.34468523652376454
3W-FRI,short_reversal_1m,downside_vol_1m,0.3442377168270616,0.3442377168270616
3W-FRI,mom12m_skip1m,cs_mom_rank,0.34410658680440764,0.34410658680440764
3W-FRI,vol_3m,sd_turn,0.34340523601716333,0.34340523601716333
3W-FRI,vix_ts_z_12p,hy_spread_chg_1p,-0.34315427423499123,0.34315427423499123
3W-FRI,mom12m,tbill3m,-0.3429244880721963,0.3429244880721963
3W-FRI,turnover,spy_flow_z_12p,-0.3422338985625039,0.3422338985625039
3W-FRI,vol_1w,cpi_chg_12p,0.33874017458485844,0.33874017458485844
3W-FRI,mom12m,cpi_chg_12p,-0.3369414887476396,0.3369414887476396
3W-FRI,vol_accel,dolvol_log,-0.3365625115007625,0.3365625115007625
3W-FRI,vix,tbill3m,-0.3349670294125546,0.3349670294125546
3W-FRI,spy_flow_z_12p,hy_spread_chg_1p,-0.33405016286068306,0.33405016286068306
3W-FRI,vol_1m,cpi_chg_12p,0.333344285470621,0.333344285470621
3W-FRI,ma_signal,cpi_chg_12p,-0.3330971379957524,0.3330971379957524
3W-FRI,downside_vol_1m,cpi_chg_12p,0.33253199155362484,0.33253199155362484
3W-FRI,vol_z,vix_slope,-0.3320985563843107,0.3320985563843107
3W-FRI,mom12m,vol_1w,-0.33076179172667447,0.33076179172667447
3W-FRI,vol_3m,ret_skew,0.33046852454578296,0.33046852454578296
3W-FRI,mom12m_skip1m,term_spread,0.32904469143813064,0.32904469143813064
3W-FRI,baspread,hy_spread_z_12p,0.3280475060478242,0.3280475060478242
3W-FRI,vol_accel,turnover,0.32790843440542616,0.32790843440542616
3W-FRI,mom6m,hy_spread_z_12p,-0.32741285251429547,0.32741285251429547
3W-FRI,short_reversal_1m,hy_spread_z_12p,0.32602473900207196,0.32602473900207196
3W-FRI,mom12m,downside_vol_1m,-0.32315267622691385,0.32315267622691385
3W-FRI,mom12m,vol_1m,-0.31942811207392563,0.31942811207392563
3W-FRI,vol_z,spy_flow_z_12p,-0.3181715715410347,0.3181715715410347
3W-FRI,turnover,vix_ts_z_12p,-0.3165472983673759,0.3165472983673759
3W-FRI,ma_regime,hy_spread_z_12p,-0.31546424966559,0.31546424966559
3W-FRI,ma_signal,hy_spread_z_12p,-0.31535174598214194,0.31535174598214194
3W-FRI,vol_of_vol,hy_spread_chg_1p,-0.3150198301849893,0.3150198301849893
3W-FRI,ma_signal,vix_ts_z_12p,0.31408952389807365,0.31408952389807365
3W-FRI,short_reversal_1m,pct_above_50dma,-0.31381477144150327,0.31381477144150327
3W-FRI,vol_z,vix,0.3135367756527117,0.3135367756527117
3W-FRI,downside_vol_1m,hy_spread_z_12p,0.31177003119939073,0.31177003119939073
3W-FRI,ma_signal,max_dd_3m,0.3108377193051573,0.3108377193051573
3W-FRI,vol_3m,ill_log,0.310765424591747,0.310765424591747
3W-FRI,max_dd_6m,cpi_chg_12p,-0.3103705869585512,0.3103705869585512
3W-FRI,vol_accel,sd_turn,0.30997861865456716,0.30997861865456716
3W-FRI,vol_of_vol,sd_turn,0.30937033128516783,0.30937033128516783
3W-FRI,mom12m,baspread,-0.3077854614732228,0.3077854614732228
3W-FRI,vol_1w,ill_log,0.30378709860343095,0.30378709860343095
3W-FRI,downside_vol_1m,vix_slope,-0.30319616351530426,0.30319616351530426
3W-FRI,mom6m,vix_ts_z_12p,0.30302355250647217,0.30302355250647217
3W-FRI,max_dd_6m,ill_log,-0.3025223863357571,0.3025223863357571
