variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after
positive_beta_prior,2025-10-31,VNQI,0.025,-0.07497320892754081,0.08462532762733045,55,2,2,-0.0019581409563520645,-0.0019411915357523406,0.04747837095054195,0.04355707588918821
positive_beta_prior,2025-10-31,VEA,0.025,-0.0843044932752001,0.08500093175615996,55,2,2,0.004548417481886976,0.004325946309254197,0.0446326760841844,0.04202531600225808
positive_beta_prior,2025-10-31,VWO,0.025,-0.0677022225278828,0.07556627193057254,55,2,2,0.0014752964454353488,0.0009455651827853865,0.041539749304071,0.036698771632283606
positive_beta_prior,2025-10-31,VSS,0.025,-0.09453143630333201,0.08681416886304576,55,2,2,0.0023124011516061564,0.0023543742007301675,0.04545780376317812,0.04335028829906042
positive_beta_prior,2025-10-31,BND,0.025,-0.03679493193291169,0.03228195439911649,55,2,2,-0.002518800068060453,-0.0024805350592720923,0.018626297453441545,0.01785021208422533
positive_beta_prior,2025-10-31,IEF,0.025,-0.04220365072197671,0.033079818507041836,55,2,2,-0.0032908851325316704,-0.0032810817653309136,0.022178774453491833,0.021613444272216165
positive_beta_prior,2025-10-31,BNDX,0.025,-0.03136061712186755,0.028938418065737624,55,2,2,-0.002464967470762323,-0.0023726316880731133,0.015231768429332786,0.014866377085080294
positive_beta_prior,2025-10-31,LQD,0.025,-0.05679078944531222,0.05734177797073105,55,2,2,-0.00226984709973941,-0.0023152865913100406,0.028707677706642655,0.02726095477745845
positive_beta_prior,2025-10-31,HYG,0.025,-0.04430742251338279,0.04006091626141473,55,2,2,0.000443138331493411,0.00043147179724033316,0.022537502415602713,0.019811049972894058
positive_beta_prior,2025-10-31,EWX,0.025,-0.06676738380866976,0.06977676691777022,55,2,2,0.0034672030850817735,0.0032449388098032246,0.036405526700690256,0.03356398483130755
positive_beta_prior,2025-10-31,VWOB,0.025,-0.06415036736196314,0.05318824823285964,55,2,2,-0.0003435707119668472,-0.0010639617443508912,0.029295964642314286,0.027201408267187515
positive_beta_prior,2025-10-31,HYEM,0.025,-0.05462094539705146,0.04023574875162682,55,2,2,-0.0004152306628207526,-0.0013325283136346637,0.025268467972682427,0.021322573105788244
positive_beta_prior,2025-11-28,SPY,0.025,-0.08655926521983946,0.08321487548371456,56,2,2,0.008946412159062103,0.008946706889558426,0.04452099523915146,0.0437903894474589
positive_beta_prior,2025-11-28,MGK,0.025,-0.10167192050661025,0.10802316381164351,56,2,2,0.011619765691237216,0.011787224474831227,0.058396367850803266,0.055940276219607885
positive_beta_prior,2025-11-28,VTV,0.025,-0.07521130082272431,0.06665647391360377,56,2,2,0.006474319603185668,0.005760577632495299,0.04027981912138792,0.03794994415046665
positive_beta_prior,2025-11-28,IJR,0.025,-0.08537986332180608,0.1147688980095255,56,2,2,0.0018990889776501821,0.0019539980263367346,0.05725754669804377,0.05628830715830092
positive_beta_prior,2025-11-28,IWM,0.025,-0.0976776838952218,0.10765371955978911,56,2,2,0.0018932873375608259,0.0017836508692349001,0.05867772374867559,0.05825850562923765
positive_beta_prior,2025-11-28,VNQ,0.025,-0.0860659996488235,0.09869157148402688,56,2,2,0.0015678285399759562,0.002068195728523936,0.05577911918604515,0.053467231172219305
